Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,486,50,1538.48,1539.26,1469.36,1258.58,0.17,hopper
2,866,50,2388.25,2338.69,2301.44,1977.31,0.18,hopper
3,445,50,2233.96,2205.87,2212.71,1900.08,0.18,hopper
4,1792,50,1029.74,1023.33,992.96,722.37,0.16,hopper
5,433,50,1740.08,1719.78,1683.46,1433.66,0.17,hopper
6,352,50,1389.12,1383.30,1377.17,1252.33,0.17,hopper
7,2051,37,1181.22,1182.06,1180.31,898.78,0.15,hopper
8,552,50,1935.73,1903.80,1898.05,1620.61,0.18,hopper
9,1750,50,1404.26,1401.84,1363.95,1179.93,0.17,hopper
10,281,36,1796.93,1790.24,1758.56,1433.54,0.18,hopper
11,845,50,1338.70,1325.84,1336.28,1174.34,0.16,hopper
12,499,50,1713.97,1680.66,1688.33,1421.79,0.18,hopper
13,427,50,1880.65,1841.48,1867.71,1792.73,0.18,hopper
14,430,50,1871.04,1839.63,1825.54,1612.70,0.18,hopper
15,1553,50,1609.98,1592.10,1549.07,1182.24,0.17,hopper
16,1891,50,1716.17,1669.90,1645.22,1356.72,0.17,hopper
17,531,50,2207.55,2148.08,2108.92,1801.37,0.18,hopper
18,3196,50,1341.90,1325.69,1338.75,1142.11,0.18,hopper
19,377,50,2016.54,1983.32,1978.47,1726.64,0.18,hopper
20,816,50,2194.75,2160.07,2115.11,1851.16,0.17,hopper
